
Date,"Flight number",From,To,"Dep time","Arr time",Duration,Airline,Aircraft,Registration,"Seat number","Seat type","Flight class","Flight reason",Note,Dep_id,Arr_id,Airline_id,Aircraft_id
2014-11-04,LH1472,"Frankfurt am Main / Frankfurt (FRA/EDDF)","Moscow / Vnukovo (VKO/UUWW)",20:25:00,00:00:00,02:31:00,"Lufthansa (LH/DLH)","Airbus A320 (A320)",D-AIZO,,2,1,1,,919,3190,239,27
2014-10-31,LH1471,"Moscow / Vnukovo (VKO/UUWW)","Frankfurt am Main / Frankfurt (FRA/EDDF)",19:29:00,00:00:00,02:39:00,"Lufthansa (LH/DLH)","Airbus A321 (A321)",D-AISB,,1,1,1,,3190,919,239,28
2014-10-12,W62491,"Budapest / Franz Liszt International (BUD/LHBP)","Moscow / Vnukovo (VKO/UUWW)",23:53:00,00:00:00,02:05:00,"Wizz Air (W6/WZZ)","Airbus A320 (A320)",HA-LWR,,0,1,1,,429,3190,859,27
2014-10-11,W62490,"Moscow / Vnukovo (VKO/UUWW)","Budapest / Franz Liszt International (BUD/LHBP)",11:34:00,00:00:00,02:15:00,"Wizz Air (W6/WZZ)","Airbus A320 (A320)",HA-LWR,,3,1,2,,3190,429,859,27
2014-09-07,UN2218,"Simferopol / Simferopol (SIP/UKFF)","Moscow / Sheremetyevo (SVO/UUEE)",22:20:00,00:00:00,00:16:00,"Transaero Airlines (UN/TSO)","Boeing 747 (B747)",EI-XLE,24A,1,1,1,,2673,2816,795,233
2014-08-24,NN343,"Moscow / Domodedovo (DME/UUDD)","Simferopol / Simferopol (SIP/UKFF)",08:06:00,00:00:00,02:03:00,"VIM Airlines (NN/MOV)","Boeing 757 (B757)",RA-73009,,1,1,1,,3651,2673,528,2010
2014-08-03,THY419,"Istanbul / Ataturk (IST/LTBA)","Moscow / Vnukovo (VKO/UUWW)",23:13:00,00:00:00,02:24:00,"Turkish Airlines (TK/THY)","Boeing 737 (B73X)",TC-JVF,,1,1,1,,1284,3190,769,2009
2014-08-01,THY416,"Moscow / Vnukovo (VKO/UUWW)","Istanbul / Ataturk (IST/LTBA)",21:44:00,00:00:00,02:33:00,"Turkish Airlines (TK/THY)","Boeing 737 (B73X)",TC-JHE,,1,1,1,,3190,1284,769,2009
2014-07-20,UN132,"Sochi / Sochi (AER/URSS)","Moscow / Domodedovo (DME/UUDD)",19:26:00,00:00:00,01:56:00,"Transaero Airlines (UN/TSO)","Boeing 737 (B73X)",EI-DDK,,1,1,1,,52,3651,795,2009
2014-07-19,UN141,"Moscow / Domodedovo (DME/UUDD)","Sochi / Sochi (AER/URSS)",10:29:00,00:00:00,02:14:00,"Transaero Airlines (UN/TSO)","Boeing 737 (B73X)",EI-DTV,,1,1,1,,3651,52,795,2009
2014-06-15,EZY8401,"London / Gatwick (LGW/EGKK)","Moscow / Domodedovo (DME/UUDD)",07:26:00,00:00:00,03:29:00,"Easyjet (U2/EZY)","Airbus A320 (A320)",G-EZWF,,1,1,1,,1614,3651,291,27
2014-06-14,FR9852,"Cork / Chorcai (ORK/EICK)","London / Gatwick (LGW/EGKK)",20:15:00,00:00:00,00:55:00,"Ryanair (FR/RYR)","Boeing 737 (B73X)",EI-DHR,,1,1,1,,2209,1614,668,2009
2014-06-12,FR8867,"Vilnius / Vilnius (VNO/EYVI)","Cork / Chorcai (ORK/EICK)",12:12:00,00:00:00,03:21:00,"Ryanair (FR/RYR)","Boeing 737 (B73X)",EI-DHR,,3,1,1,,3600,2209,668,2009
2014-05-18,UN218,"Simferopol / Simferopol (SIP/UKFF)","Moscow / Domodedovo (DME/UUDD)",13:07:00,00:00:00,02:21:00,"Transaero Airlines (UN/TSO)","Boeing 737 (B73X)",EI-CZK,,1,1,1,,2673,3651,795,2009
2014-05-17,UN217,"Moscow / Domodedovo (DME/UUDD)","Simferopol / Simferopol (SIP/UKFF)",06:22:00,00:00:00,02:03:00,"Transaero Airlines (UN/TSO)","Boeing 737 (B73X)",EI-CZK,16A,1,1,1,,3651,2673,795,2009
2014-05-11,EZY1871,"Manchester / Manchester (MAN/EGCC)","Moscow / Domodedovo (DME/UUDD)",07:03:00,00:00:00,00:37:00,"Easyjet (U2/EZY)","Airbus A320 (A320)",G-EZUR,9A,1,1,1,,1747,3651,291,27
