Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
2014-11-04 20:25:00,FRA,VKO,LH1472,Lufthansa (LH/DLH),,02:31:00,,2,1,1,Airbus A320 (A320),D-AIZO,,,,,,
2014-10-31 19:29:00,VKO,FRA,LH1471,Lufthansa (LH/DLH),,02:39:00,,1,1,1,Airbus A321 (A321),D-AISB,,,,,,
2014-10-12 23:53:00,BUD,VKO,W62491,Wizz Air (W6/WZZ),,02:05:00,,0,1,1,Airbus A320 (A320),HA-LWR,,,,,,
2014-10-11 11:34:00,VKO,BUD,W62490,Wizz Air (W6/WZZ),,02:15:00,,3,1,2,Airbus A320 (A320),HA-LWR,,,,,,
2014-09-07 22:20:00,SIP,SVO,UN2218,Transaero Airlines (UN/TSO),,00:16:00,24A,1,1,1,Boeing 747 (B747),EI-XLE,,,,,,
2014-08-24 08:06:00,DME,SIP,NN343,VIM Airlines (NN/MOV),,02:03:00,,1,1,1,Boeing 757 (B757),RA-73009,,,,,,
2014-08-03 23:13:00,IST,VKO,THY419,Turkish Airlines (TK/THY),,02:24:00,,1,1,1,Boeing 737 (B73X),TC-JVF,,,,,,
2014-08-01 21:44:00,VKO,IST,THY416,Turkish Airlines (TK/THY),,02:33:00,,1,1,1,Boeing 737 (B73X),TC-JHE,,,,,,
2014-07-20 19:26:00,AER,DME,UN132,Transaero Airlines (UN/TSO),,01:56:00,,1,1,1,Boeing 737 (B73X),EI-DDK,,,,,,
2014-07-19 10:29:00,DME,AER,UN141,Transaero Airlines (UN/TSO),,02:14:00,,1,1,1,Boeing 737 (B73X),EI-DTV,,,,,,
2014-06-15 07:26:00,LGW,DME,EZY8401,Easyjet (U2/EZY),,03:29:00,,1,1,1,Airbus A320 (A320),G-EZWF,,,,,,
2014-06-14 20:15:00,ORK,LGW,FR9852,Ryanair (FR/RYR),,00:55:00,,1,1,1,Boeing 737 (B73X),EI-DHR,,,,,,
2014-06-12 12:12:00,VNO,ORK,FR8867,Ryanair (FR/RYR),,03:21:00,,3,1,1,Boeing 737 (B73X),EI-DHR,,,,,,
2014-05-18 13:07:00,SIP,DME,UN218,Transaero Airlines (UN/TSO),,02:21:00,,1,1,1,Boeing 737 (B73X),EI-CZK,,,,,,
2014-05-17 06:22:00,DME,SIP,UN217,Transaero Airlines (UN/TSO),,02:03:00,16A,1,1,1,Boeing 737 (B73X),EI-CZK,,,,,,
2014-05-11 07:03:00,MAN,DME,EZY1871,Easyjet (U2/EZY),,00:37:00,9A,1,1,1,Airbus A320 (A320),G-EZUR,,,,,,
2014-05-06 11:38:00,EDI,LHR,VS3004,Virgin Atlantic (VS/VIR),,01:03:00,5F,1,1,1,Airbus A320 (A320),EIDEI,,,,,,
2014-04-30 15:41:00,DME,MAN,EZY1872,Easyjet (U2/EZY),,03:46:00,,1,1,1,Airbus A319 (A319),,,,,,,
2014-04-07 18:03:00,DXB,DME,EK131,Emirates (EK/UAE),,04:43:00,,0,1,1,Airbus A380 (A380),A6-EES,,,,,,
2014-04-07 10:18:00,CMB,DXB,EK651,Emirates (EK/UAE),,04:37:00,,1,1,1,Boeing 777 (B777),A6-ECB,,,,,,
2014-03-31 01:27:00,DOH,CMB,QTR658,Qatar Airways (QR/QTR),,03:58:00,,1,1,1,Airbus A321 (A321),A7-AIA,,,,,,
2014-03-30 23:55:00,AUH,DOH,QTR1049,Qatar Airways (QR/QTR),,01:04:00,,0,1,1,Airbus A321 (A321),A7-ADK,,,,,,
2014-03-30 17:10:00,DME,AUH,EY68,Etihad Airways (EY/ETD),,04:28:00,,1,1,1,Airbus A330 (A330),A6-EYA,,,,,,
2014-03-10 13:48:00,MAN,DME,EZY1871,Easyjet (U2/EZY),,03:22:00,14A,1,1,1,Airbus A319 (A319),G-EZGI,,,,,,
